,,,,,,,,,,,,
R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Jason Steele,GK,0,0,0,0,0,0,0,0,7.89,
2,Frazer Richardson,DR,0,0,0,2,0,0,0,0,6.98,
3,Jonathan Woodgate,DC,0,0,0,0,0,0,1,0,7.37,
4,Rhys Williams,DC,0,0,1,0,2,0,0,0,6.82,
5,George Friend,DL,2,1,1,3,2,1,2,0,8.5,
6,Grant Leadbitter,MC,3,1,2,1,0,1,1,1,7.13,
7,Dean Whitehead,MC,0,0,0,0,1,0,2,0,7,
8,Jacob Butterfield,MC,2,1,0,2,0,2,1,0,7.03,
9,Kei Kamara81',FWR,2,1,1,0,1,3,2,0,7.27,
10,Marvin Emnes77',FW,0,0,4,1,0,2,4,0,6.65,
11,Albert Adomah80',FWL,3,1,1,1,0,1,4,0,7.05,
12,Lukas Jutkiewicz81',Sub,0,0,1,0,0,0,1,0,6.11,
13,Mustapha Carayol80',Sub,0,0,0,0,1,1,0,0,6.27,
14,Justin Hoyte,Sub,0,0,0,0,0,0,0,0,0,
15,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,0,
16,Emmanuel Jorge Ledesma78',Sub,0,0,0,0,1,1,0,0,5.09,
17,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,0,
18,Ben Gibson,Sub,0,0,0,0,0,0,0,0,0,
