R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,1,0,0,0,0,0,6.75,
2,József Varga,DR,0,0,0,1,1,0,2,0,6.42,
3,Ben Gibson,DC,0,0,0,0,0,0,1,0,5.96,
4,Kenneth Omeruo,DC,0,0,0,0,1,0,0,0,8.41,
5,George Friend,DL,0,0,0,2,0,2,1,0,5.58,
6,Albert Adomah,MR,2,0,2,0,0,1,5,0,6.27,
7,Nathaniel Chalobah45',MC,0,0,0,0,1,0,1,0,5.87,
8,Dean Whitehead,MC,0,0,2,0,0,0,3,0,6.41,
9,Emmanuel Jorge Ledesma64',ML,3,2,0,2,0,2,3,0,6.38,
10,Luke Williams,FW,2,1,4,2,2,3,3,0,7.28,
11,Danny Graham,FW,2,0,0,0,2,0,2,1,5.64,
12,Jason Steele,Sub,0,0,0,0,0,0,0,0,0,
13,Curtis Main,Sub,0,0,0,0,0,0,0,0,0,
14,Daniel Ayala,Sub,0,0,0,0,0,0,0,0,0,
15,Jonathan Woodgate,Sub,0,0,0,0,0,0,0,0,0,
16,Grant Leadbitter45',Sub,0,0,0,0,0,1,1,0,6.26,
17,Lee Tomlin64',Sub,1,0,1,2,1,3,0,0,6.32,
18,Jacob Butterfield,Sub,0,0,0,0,0,0,0,0,0,
