R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Jayson Leutwiler,GK,0,0,0,0,0,0,0,0,6.12,
2,Frazer Richardson,DR,0,0,1,0,1,2,0,0,6.23,
3,Jonathan Woodgate,DC,1,0,0,0,0,0,0,0,6.72,
4,Rhys Williams,DC,1,0,2,0,0,0,0,0,6.63,
5,George Friend,DL,1,0,1,2,1,3,1,0,6.83,
6,Albert Adomah,MR,2,0,2,1,2,2,3,0,6.35,
7,Grant Leadbitter,MC,3,1,3,0,2,0,0,0,7,
8,Dean Whitehead,MC,0,0,0,0,0,1,1,0,6.51,
9,József Varga60',MC,0,0,0,0,1,1,1,0,6.22,
10,Mustapha Carayol,ML,5,1,1,0,1,2,2,0,6.11,
11,Lukas Jutkiewicz,FW,2,0,0,0,2,1,1,1,5.99,
12,Curtis Main,Sub,0,0,0,0,0,0,0,0,0,
13,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,0,0,
14,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,0,
15,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,
16,Stuart Parnaby,Sub,0,0,0,0,0,0,0,0,0,
17,Marvin Emnes60',Sub,1,1,0,0,1,0,1,0,7.02,
18,Ben Gibson,Sub,0,0,0,0,0,0,0,0,0,
