R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,0,0,0,0,0,6.88,
2,József Varga,DR,0,0,0,1,0,0,1,0,6.42,
3,Kenneth Omeruo67',DC,0,0,0,1,0,0,0,0,6.61,
4,Jonathan Woodgate41',DC,0,0,0,0,0,0,0,0,6.97,
5,Ben Gibson,DL,0,0,0,0,1,0,1,0,5.87,
6,Albert Adomah,MR,3,2,3,0,0,2,3,0,6.8,
7,Jacob Butterfield60',MC,3,1,0,1,0,1,0,0,6.38,
8,Dean Whitehead,MC,1,0,2,0,2,2,3,0,6.85,
9,Adam Reach,ML,3,0,2,1,1,1,1,0,6.89,
10,Lee Tomlin,AMC,8,6,5,1,2,5,2,0,9.38,
11,Danny Graham,FW,3,2,2,0,0,3,1,0,7.61,
12,Sebastian Hines67',Sub,0,0,0,0,0,0,0,0,6.54,
13,Jason Steele,Sub,0,0,0,0,0,0,0,0,0,
14,Curtis Main,Sub,0,0,0,0,0,0,0,0,0,
15,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,0,0,
16,Daniel Ayala41',Sub,1,1,0,0,2,0,0,0,8.26,
17,Nathaniel Chalobah60',Sub,1,0,2,0,0,0,2,0,6.61,
18,Bryn Morris,Sub,0,0,0,0,0,0,0,0,0,
