R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Tomás Mejías,GK,0,0,0,0,0,0,0,0,6.3,
2,Damiá,DR,0,0,0,0,3,0,0,0,6.92,
3,Kenneth Omeruo,DC,0,0,0,0,0,0,0,0,6.74,
4,Sebastian Hines,DC,0,0,0,0,0,0,0,0,6.62,
5,George Friend,DL,0,0,2,1,2,0,0,0,7.01,
6,Emilio Nsue Lopez63',MR,1,0,3,0,1,1,0,2,6.49,
7,Grant Leadbitter,MC,2,1,1,0,1,0,1,0,7.32,
8,Adam Clayton79',MC,3,0,1,0,3,0,0,0,6.76,
9,Albert Adomah,ML,1,0,1,1,1,2,0,1,6.48,
10,Lee Tomlin89',FW,5,3,0,0,1,2,1,0,6.9,
11,Kike,FW,6,1,4,1,1,3,4,1,7.24,
12,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,undefined,
13,Luke Williams,Sub,0,0,0,0,0,0,0,0,undefined,
14,James Husband,Sub,0,0,0,0,0,0,0,0,undefined,
15,Dean Whitehead89',Sub,0,0,0,0,0,0,1,0,6.02,
16,Adam Reach63',Sub,1,1,2,2,0,0,1,1,7.08,
17,Bradley Fewster,Sub,0,0,0,0,0,0,0,0,undefined,
18,Daniel Ayala79',Sub,0,0,0,0,1,0,0,0,6.16,
