R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,0,0,0,0,0,7.65,
2,Bryn Morris,Sub,0,0,0,0,0,0,0,0,0,
3,Kenneth Omeruo,DC,1,0,1,2,2,0,2,0,7.75,
4,Nathaniel Chalobah,DC,0,0,0,0,0,0,0,0,7.05,
5,Emmanuel Jorge Ledesma,DMR,2,1,2,2,1,1,0,0,7.81,
6,Albert Adomah,DML,0,0,1,3,2,4,5,1,6.4,
7,Jacob Butterfield60',MC,2,1,2,3,1,2,0,0,6.73,
8,Dean Whitehead85',MC,2,1,1,0,0,1,0,0,6.71,
9,Grant Leadbitter74',MC,1,0,1,0,0,0,0,0,6.18,
10,Jonathan Woodgate,DC,0,0,0,0,0,0,1,0,6.16,
11,Danny Graham,FW,2,1,2,0,2,1,1,2,6.77,
12,Sebastian Hines,Sub,0,0,0,0,0,0,0,0,0,
13,George Friend85',Sub,0,0,0,0,0,0,0,0,6.16,
14,Jason Steele,Sub,0,0,0,0,0,0,0,0,0,
15,Curtis Main74',Sub,1,0,0,0,0,0,1,0,6.03,
16,József Varga,Sub,0,0,0,0,0,0,0,0,0,
17,Luke Williams60',Sub,0,0,0,0,0,2,0,0,6.32,
18,Lee Tomlin,AMC,3,0,0,2,2,1,1,1,6.12,
