R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Jason Steele,GK,0,0,0,0,0,0,0,0,6.59,
2,Rhys Williams,DR,1,0,1,0,1,1,2,0,6.48,
3,Sebastian Hines88',DC,0,0,0,0,2,1,2,0,5.78,
4,Daniel Ayala,DC,2,1,1,0,0,0,0,0,7.65,
5,Ben Gibson,DL,0,0,1,0,0,1,0,0,6.7,
6,Albert Adomah,MR,2,1,1,0,2,2,1,1,7.08,
7,Grant Leadbitter,MC,3,2,3,0,2,2,1,0,7.8,
8,Richard Smallwood,MC,2,0,2,0,0,3,0,0,6.26,
9,Mustapha Carayol78',ML,0,0,1,1,2,1,0,0,6.29,
10,Kei Kamara,FW,5,2,1,1,1,3,8,0,7.15,
11,Marvin Emnes78',FW,1,0,2,0,1,0,2,0,6.26,
12,Brad Halliday78',Sub,0,0,0,0,0,0,0,0,6.09,
13,George Friend88',Sub,0,0,0,0,0,0,0,0,6.1,
14,Dean Whitehead,Sub,0,0,0,0,0,0,0,0,0,
15,Jacob Butterfield78',Sub,0,0,1,0,0,2,0,0,6.2,
16,Lukas Jutkiewicz,Sub,0,0,0,0,0,0,0,0,0,
17,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,0,
18,Frazer Richardson,Sub,0,0,0,0,0,0,0,0,0,
