R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Tomás Mejías,GK,0,0,0,0,0,0,0,0,6.82,
2,Sebastian Hines,DR,0,0,0,0,0,1,2,0,7.27,
3,Daniel Ayala,DC,2,2,0,0,1,0,0,0,8.46,
4,Ben Gibson4',DC,0,0,0,0,0,0,0,0,6.33,
5,George Friend,DL,2,0,1,2,2,2,0,0,7.57,
6,Dean Whitehead,DMC,0,0,1,0,2,1,0,0,7.55,
7,Grant Leadbitter,DMC,0,0,4,0,1,0,1,0,7.92,
8,Albert Adomah67',AMR,2,2,1,1,3,1,1,1,6.83,
9,Lee Tomlin87',AMC,5,0,2,2,2,4,1,0,7,
10,Adam Reach,AML,0,0,2,3,2,1,2,1,7.34,
11,Kike,FW,6,2,2,1,0,1,1,2,8.05,
12,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,0,
13,James Husband,Sub,0,0,0,0,0,0,0,0,0,
14,Bradley Fewster,Sub,0,0,0,0,0,0,0,0,0,
15,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,
16,Luke Williams87',Sub,1,1,0,0,0,0,0,0,6.2,
17,Kenneth Omeruo4',Sub,0,0,0,0,0,0,0,0,6.87,
18,Emilio Nsue Lopez67',Sub,2,1,1,0,0,0,1,0,6.24,
