R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Shay Given,GK,0,0,0,0,0,0,0,0,6.73,
2,Rhys Williams,DR,0,0,0,0,0,3,2,0,7.72,
3,Jonathan Woodgate,DC,0,0,0,0,1,0,0,0,7.46,
4,Ben Gibson,DC,1,0,0,0,0,0,0,0,7.11,
5,George Friend,DL,1,0,1,0,1,0,2,0,6.79,
6,Albert Adomah,MR,1,0,0,1,3,0,5,0,7.15,
7,Grant Leadbitter,MC,1,1,4,1,1,1,0,0,8.58,
8,Jacob Butterfield67',MC,3,0,0,1,0,0,2,0,6.42,
9,Richard Smallwood84',MC,2,0,1,0,0,0,1,0,6.27,
10,Mustapha Carayol63',ML,0,0,0,0,1,1,2,0,5.93,
11,Kei Kamara,FW,1,0,2,0,0,1,4,0,6.98,
12,Dean Whitehead84',Sub,0,0,0,0,0,0,2,0,6.06,
13,Curtis Main63',Sub,1,0,0,1,0,0,1,0,6.4,
14,Marvin Emnes67',Sub,0,0,0,0,2,0,1,0,6.55,
15,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,
16,Daniel Ayala,Sub,0,0,0,0,0,0,0,0,0,
17,Frazer Richardson,Sub,0,0,0,0,0,0,0,0,0,
18,Emmanuel Jorge Ledesma,Sub,0,0,0,0,0,0,0,0,0,
