R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Shay Given,GK,0,0,0,0,0,0,0,0,6.46,
2,Rhys Williams89',DR,1,0,0,0,0,0,0,0,6.69,
3,Daniel Ayala,DC,1,0,0,0,1,0,0,0,6.64,
4,Jonathan Woodgate45',DC,0,0,0,0,0,0,0,0,6.53,
5,George Friend,DL,0,0,2,0,0,0,1,0,6.63,
6,Albert Adomah,MR,0,0,3,1,0,1,3,0,6.25,
7,Jacob Butterfield,MC,1,1,1,2,1,4,1,0,6.7,
8,Dean Whitehead,MC,0,0,2,0,0,2,0,0,6.92,
9,Grant Leadbitter,MC,3,0,2,0,1,1,0,0,6.51,
10,Mustapha Carayol,ML,2,2,2,4,2,1,2,0,7.45,
11,Lukas Jutkiewicz73',FW,5,0,1,0,1,2,2,0,6.16,
12,Luke Williams89',Sub,0,0,0,0,0,0,0,0,6,
13,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,0,
14,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,
15,Ben Gibson45',Sub,0,0,0,0,0,0,0,0,6.23,
16,Frazer Richardson,Sub,0,0,0,0,0,0,0,0,0,
17,Faris Haroun,Sub,0,0,0,0,0,0,0,0,0,
18,Curtis Main73',Sub,0,0,0,0,0,1,0,0,5.84,
