R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Tomás Mejías,GK,0,0,0,0,0,0,0,0,6.18,
2,Damiá,DR,0,0,0,1,1,1,1,0,6.57,
3,Kenneth Omeruo,DC,0,0,0,0,1,0,2,0,7.04,
4,Sebastian Hines76',DC,2,0,2,0,0,0,0,0,6.32,
5,George Friend,DL,1,0,2,1,1,1,2,0,7.33,
6,Adam Clayton77',DMC,2,0,3,0,2,2,0,0,6.68,
7,Grant Leadbitter,DMC,2,0,9,1,2,1,0,0,8.52,
8,Albert Adomah,AMR,4,2,0,4,2,1,2,0,7.01,
9,Lee Tomlin59',AMC,2,1,1,0,1,3,2,0,5.91,
10,Adam Reach,AML,0,0,2,7,1,1,2,0,7.99,
11,Kike,FW,8,3,3,0,2,2,4,2,6.36,
12,Emmanuel Ledesma,Sub,0,0,0,0,0,0,0,0,undefined,
13,Ben Gibson,Sub,0,0,0,0,0,0,0,0,undefined,
14,Luke Williams76',Sub,0,0,0,0,0,0,0,0,6.02,
15,Dean Whitehead77',Sub,0,0,0,0,1,0,0,0,6.19,
16,Patrick Bamford59',Sub,3,0,0,0,0,1,1,0,5.9,
17,Daniel Ayala,Sub,0,0,0,0,0,0,0,0,undefined,
18,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,undefined,
