R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Jason Steele,GK,0,0,0,0,0,0,0,0,6.67,
2,Frazer Richardson,DR,0,0,2,0,1,0,0,0,6.63,
3,Jonathan Woodgate45',DC,0,0,0,0,0,0,0,0,6.14,
4,Ben Gibson,DC,1,0,0,0,0,1,0,0,5.87,
5,George Friend,DL,1,0,0,0,0,2,1,0,6.75,
6,Jacob Butterfield67',MR,1,0,0,0,1,0,2,0,5.75,
7,József Varga45',MC,0,0,0,0,1,1,0,0,5.76,
8,Grant Leadbitter,MC,3,1,2,0,1,3,1,1,6.48,
9,Dean Whitehead,MC,0,0,3,1,2,0,1,0,6.47,
10,Albert Adomah,ML,3,0,1,1,1,4,4,0,6.13,
11,Kei Kamara,FW,2,1,2,0,0,0,1,0,6.42,
12,Mustapha Carayol,Sub,0,0,0,0,0,0,0,0,0,
13,Richard Smallwood67',Sub,0,0,1,0,0,0,0,0,6.1,
14,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,0,
15,Lukas Jutkiewicz45',Sub,6,2,1,0,0,0,1,0,6.8,
16,Andrew Halliday,Sub,0,0,0,0,0,0,0,0,0,
17,Stuart Parnaby45',Sub,0,0,0,0,0,0,0,0,6.33,
18,Justin Hoyte,Sub,0,0,0,0,0,0,0,0,0,
