R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,0,1,0,0,0,6.85,
2,Damiá,DR,1,0,1,0,0,0,0,0,7.21,
3,Daniel Ayala,DC,0,0,0,0,2,0,1,0,7.32,
4,Ben Gibson,DC,0,0,0,0,0,0,1,0,6.64,
5,George Friend,DL,0,0,0,2,1,2,1,0,7.15,
6,Albert Adomah89',MR,1,1,1,1,1,1,2,0,6.76,
7,Grant Leadbitter,MC,5,2,0,0,1,0,2,0,7.82,
8,Adam Clayton,MC,3,0,2,2,0,0,1,0,6.89,
9,Adam Reach,ML,1,0,1,1,1,1,0,0,7.44,
10,Lee Tomlin59',AMC,1,0,3,0,1,1,2,0,6.57,
11,Kike77',FW,3,1,2,1,0,5,5,1,6.35,
12,Dean Whitehead,Sub,0,0,0,0,0,0,0,0,undefined,
13,Jelle Vossen59',Sub,2,0,0,0,0,0,0,0,5.96,
14,Patrick Bamford77',Sub,0,0,0,0,0,1,0,0,6.01,
15,Emilio Nsue Lopez89',Sub,0,0,0,0,0,0,0,0,6.03,
16,Yanic Wildschut,Sub,0,0,0,0,0,0,0,0,undefined,
17,Jonathan Woodgate,Sub,0,0,0,0,0,0,0,0,undefined,
18,Jamal Blackman,Sub,0,0,0,0,0,0,0,0,undefined,
