R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Shay Given,GK,0,0,0,0,0,0,0,0,6.06,
2,Rhys Williams,DR,2,0,1,0,0,1,0,0,7.3,
3,Ben Gibson,DC,0,0,0,0,0,1,0,0,6.91,
4,Daniel Ayala,DC,0,0,0,0,0,0,0,0,6.92,
5,George Friend,DL,0,0,1,0,0,1,4,0,7.09,
6,Albert Adomah89',MR,0,0,1,0,0,2,5,0,6.27,
7,Grant Leadbitter,MC,3,1,1,1,1,0,2,0,7.41,
8,Richard Smallwood,MC,0,0,1,0,0,0,0,0,6.87,
9,Jacob Butterfield79',MC,2,0,0,0,2,0,0,1,6.74,
10,Mustapha Carayol67',ML,3,1,2,1,0,0,2,0,8,
11,Curtis Main,FW,4,1,1,1,1,5,1,0,7.76,
12,Dimitrios Konstantopoulos,Sub,0,0,0,0,0,0,0,0,0,
13,Frazer Richardson,Sub,0,0,0,0,0,0,0,0,0,
14,Emmanuel Jorge Ledesma79',Sub,1,0,1,0,0,1,0,0,6.07,
15,Marvin Emnes89',Sub,0,0,0,0,0,0,0,0,5.9,
16,Sebastian Hines,Sub,0,0,0,0,0,0,0,0,0,
17,Lukas Jutkiewicz67',Sub,0,0,2,0,1,2,1,2,5.84,
18,József Varga,Sub,0,0,0,0,0,0,0,0,0,
