R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,0,0,0,0,0,7.31,
2,Ryan Fredericks,DR,0,0,1,1,4,1,0,0,8.81,
3,Kenneth Omeruo,DC,0,0,0,2,0,0,0,0,7.6,
4,Ben Gibson,DC,0,0,1,0,0,1,0,0,7.51,
5,George Friend,DL,0,0,2,0,0,0,0,0,7.48,
6,Dean Whitehead,DMC,2,1,1,0,1,0,2,0,6.7,
7,Grant Leadbitter70',DMC,3,2,1,0,0,1,0,0,8.08,
8,Albert Adomah,AMR,3,1,1,4,2,0,2,2,8.51,
9,Patrick Bamford76',AMC,4,1,0,1,0,2,3,0,7.57,
10,Emilio Nsue Lopez,AML,3,1,4,0,1,1,2,2,8.27,
11,Jelle Vossen85',FW,4,1,3,0,0,1,1,0,7.81,
12,Adam Clayton70',Sub,1,1,1,0,0,0,1,0,6.73,
13,Kike76',Sub,2,1,1,1,1,0,0,0,7.36,
14,James Husband,Sub,0,0,0,0,0,0,0,0,undefined,
15,Adam Reach85',Sub,0,0,0,0,1,0,1,0,6.02,
16,Jonathan Woodgate,Sub,0,0,0,0,0,0,0,0,undefined,
17,Jamal Blackman,Sub,0,0,0,0,0,0,0,0,undefined,
18,Lee Tomlin,Sub,0,0,0,0,0,0,0,0,undefined,
