R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Jason Steele,GK,0,0,0,0,0,0,0,0,5.61,
2,Frazer Richardson,DR,0,0,1,0,0,0,0,0,6.16,
3,Rhys Williams,DC,1,0,0,0,1,0,0,0,5.27,
4,Jonathan Woodgate,DC,1,0,0,1,0,1,0,0,6.48,
5,George Friend,DL,0,0,0,1,2,0,3,0,6.66,
6,Dean Whitehead89',DMC,1,0,3,0,1,1,2,0,7.42,
7,Albert Adomah89',MR,1,0,2,0,2,1,2,0,6.7,
8,Grant Leadbitter,MC,4,1,5,0,0,1,2,0,7.35,
9,Jacob Butterfield,MC,4,2,3,0,0,0,1,0,7.23,
10,Mustapha Carayol87',ML,5,1,2,1,1,1,2,0,7.52,
11,Kei Kamara,FW,6,2,2,0,1,3,3,1,8.25,
12,Ben Gibson87',Sub,0,0,0,0,0,0,0,0,6.09,
13,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,0,
14,József Varga89',Sub,0,0,0,0,0,0,1,0,6.04,
15,Justin Hoyte,Sub,0,0,0,0,0,0,0,0,0,
16,Lukas Jutkiewicz89',Sub,0,0,1,0,0,0,0,0,6.06,
17,Richard Smallwood,Sub,0,0,0,0,0,0,0,0,0,
18,Andrew Halliday,Sub,0,0,0,0,0,0,0,0,0,
