R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,0,0,0,0,0,7.11,
2,József Varga,DR,0,0,0,0,1,2,1,0,6.98,
3,Ben Gibson,DC,0,0,0,0,0,0,0,0,6.91,
4,Kenneth Omeruo,DC,1,0,0,0,1,0,1,0,7.69,
5,George Friend,DL,1,0,0,1,0,1,4,0,7.03,
6,Luke Williams79',MR,1,0,2,0,1,1,1,0,6.46,
7,Grant Leadbitter,MC,0,0,2,0,1,1,0,0,7.54,
8,Nathaniel Chalobah,MC,2,1,1,1,4,1,1,0,8.48,
9,Albert Adomah89',ML,1,0,2,1,3,0,5,0,6.52,
10,Lee Tomlin59',AMC,3,1,1,2,0,1,2,0,6.64,
11,Danny Graham,FW,1,0,1,0,0,0,1,1,6.3,
12,Mark Kitching,Sub,0,0,0,0,0,0,0,0,0,
13,David Atkinson,Sub,0,0,0,0,0,0,0,0,0,
14,Kei Kamara,Sub,0,0,0,0,0,0,0,0,0,
15,Jacob Butterfield79',Sub,0,0,1,0,0,1,0,0,6.05,
16,Jason Steele,Sub,0,0,0,0,0,0,0,0,0,
17,Curtis Main89',Sub,0,0,0,0,0,0,0,0,6,
18,Emmanuel Jorge Ledesma59',Sub,1,0,1,0,0,1,1,0,6.3,
