R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Dimitrios Konstantopoulos,GK,0,0,0,0,1,0,0,0,6.96,
2,Damiá64',DR,2,0,0,1,1,1,2,0,6.46,
3,Kenneth Omeruo,DC,0,0,0,0,0,0,0,0,7.63,
4,Daniel Ayala,DC,0,0,0,0,1,0,0,0,7.55,
5,George Friend,DL,0,0,0,0,0,0,1,0,6.79,
6,Albert Adomah,MR,1,0,2,0,2,1,2,0,7.32,
7,Grant Leadbitter,MC,1,0,1,0,0,0,2,0,6.91,
8,Adam Clayton,MC,2,1,0,0,2,0,2,0,7.1,
9,Adam Reach,ML,1,0,0,0,0,1,2,0,6.74,
10,Jelle Vossen66',FW,1,0,0,0,1,0,2,0,6.23,
11,Kike87',FW,1,1,0,1,3,6,1,1,7.58,
12,Lee Tomlin66',Sub,2,0,1,2,0,0,1,0,6.42,
13,Dean Whitehead,Sub,0,0,0,0,0,0,0,0,6.03,
14,Patrick Bamford87',Sub,1,0,0,0,1,1,0,1,6.05,
15,Emilio Nsue Lopez64',Sub,0,0,0,0,0,1,0,0,6.23,
16,Yanic Wildschut,Sub,0,0,0,0,0,0,0,0,undefined,
17,Jamal Blackman,Sub,0,0,0,0,0,0,0,0,undefined,
18,Ben Gibson,Sub,0,0,0,0,0,0,0,0,undefined,
