R,Name,P,S,SoT,KP,Drb,WF,Dis,TO,Off,Rt,Key Events
1,Jason Steele,GK,0,0,0,0,0,0,0,0,6.88,
2,Rhys Williams,DR,0,0,1,0,2,0,1,0,7.03,
3,Daniel Ayala,DC,0,0,0,0,0,0,0,0,7.14,
4,Jonathan Woodgate,DC,2,0,1,0,0,1,0,0,7.5,
5,George Friend,DL,0,0,0,2,1,1,0,0,7.33,
6,Richard Smallwood,DMC,0,0,1,0,0,0,2,0,6.64,
7,József Varga72',DMC,0,0,0,0,1,0,1,0,6.28,
8,Albert Adomah85',AMR,0,0,0,1,1,2,1,0,6.22,
9,Grant Leadbitter,AMC,0,0,3,0,0,0,2,0,6.27,
10,Marvin Emnes72',AML,1,0,0,1,1,2,4,1,6.07,
11,Kei Kamara,FW,3,2,0,0,0,3,3,0,7.02,
12,Lukas Jutkiewicz72',Sub,3,1,0,0,0,0,4,0,5.95,
13,Sebastian Hines,Sub,0,0,0,0,0,0,0,0,0,
14,Mustapha Carayol72',Sub,0,0,1,1,0,0,2,0,6.3,
15,Ben Gibson,Sub,0,0,0,0,0,0,0,0,0,
16,Frazer Richardson,Sub,0,0,0,0,0,0,0,0,0,
17,Jacob Butterfield85',Sub,0,0,0,0,0,0,0,0,6.01,
18,Jayson Leutwiler,Sub,0,0,0,0,0,0,0,0,0,
