R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Bournemouth,35,2,9,4,0
2,Watford,34,2,4,3,0
3,Derby,29,0,5,2,1
4,Norwich,26,2,7,2,1
5,Brentford,24,2,2,2,2
6,Ipswich,23,1,6,1,1
7,Nottingham Forest,23,1,7,2,1
8,Blackburn,19,0,9,1,0
9,Wolverhampton Wanderers,19,0,6,1,2
10,Leeds,18,0,6,2,2
11,Huddersfield,17,0,5,2,0
12,Cardiff,17,0,9,0,0
13,Sheffield Wednesday,17,0,8,1,1
14,Middlesbrough,16,0,5,3,2
15,Fulham,16,1,6,2,1
16,Charlton,16,1,3,2,0
17,Reading,14,0,8,1,1
18,Millwall,13,0,4,0,0
19,Birmingham,11,0,11,3,0
20,Bolton,11,1,6,1,0
21,Blackpool,10,1,7,0,0
22,Rotherham,10,0,4,1,0
23,Brighton,9,0,5,3,1
24,Wigan,9,1,10,0,1
