R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Hull,36,0,9,1,1
2,Sheffield Wednesday,30,1,7,1,3
3,Derby,28,1,6,1,1
4,Brighton,26,2,9,2,1
5,Fulham,25,1,8,0,2
6,Middlesbrough,24,1,5,2,2
7,Queens Park Rangers,23,0,12,2,0
8,Huddersfield,23,0,9,0,1
9,Brentford,23,1,8,1,0
10,Ipswich,23,0,2,3,0
11,Bristol City,22,1,8,2,1
12,Wolverhampton Wanderers,21,0,4,0,1
13,Burnley,21,2,8,6,1
14,Reading,19,0,4,2,0
15,Rotherham,19,0,7,4,1
16,Cardiff,18,0,9,5,1
17,Birmingham,16,1,7,3,0
18,Charlton,16,0,7,0,0
19,Leeds,16,0,5,0,2
20,Nottingham Forest,16,1,7,1,0
21,Bolton,16,0,6,2,0
22,Milton Keynes Dons,16,0,3,2,0
23,Preston,13,2,3,1,2
24,Blackburn,12,0,14,2,1
