R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Norwich,35,3,10,2,0
2,Brentford,33,4,8,1,0
3,Derby,32,1,9,4,2
4,Bournemouth,29,0,11,7,1
5,Wolverhampton Wanderers,28,0,9,2,3
6,Watford,28,0,18,2,0
7,Middlesbrough,26,2,9,5,0
8,Ipswich,25,1,13,1,0
9,Bolton,25,1,6,3,0
10,Nottingham Forest,25,1,9,2,0
11,Blackburn,24,1,10,1,1
12,Huddersfield,23,1,8,1,1
13,Charlton,23,0,3,6,0
14,Rotherham,21,1,8,0,1
15,Fulham,21,3,8,4,0
16,Leeds,18,1,3,0,0
17,Cardiff,17,1,8,4,1
18,Birmingham,17,3,6,2,1
19,Brighton,17,0,9,0,0
20,Reading,16,1,3,3,1
21,Millwall,12,1,8,4,0
22,Wigan,12,0,5,1,0
23,Blackpool,9,0,7,1,1
24,Sheffield Wednesday,5,0,6,5,0
