R,Team,Open Play,Counter Attack,Set Piece,Penalty,Own Goal
1,Brentford,29,2,7,1,0
2,Fulham,23,0,5,2,0
3,Derby,23,1,5,0,0
4,Brighton,21,0,7,3,1
5,Sheffield Wednesday,20,0,2,2,0
6,Reading,20,0,5,2,0
7,Burnley,20,0,12,1,1
8,Huddersfield,18,0,5,0,3
9,Cardiff,18,0,4,1,0
10,Birmingham,18,0,6,2,0
11,Leeds,17,3,2,5,0
12,Ipswich,17,1,6,1,0
13,Hull,17,1,2,2,0
14,Wolverhampton Wanderers,16,0,6,2,3
15,Preston,16,0,6,1,1
16,Middlesbrough,15,2,10,2,0
17,Queens Park Rangers,13,0,3,1,0
18,Bristol City,13,0,6,1,0
19,Rotherham,13,0,7,1,1
20,Nottingham Forest,12,0,4,2,0
21,Charlton,12,3,2,0,0
22,Milton Keynes Dons,12,0,4,1,1
23,Bolton,10,0,4,3,0
24,Blackburn,8,0,5,3,1
