R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,26,38.5,0,0,25,9,0,0,6.96,
2,,"Tomas Kalas 22, DR",0,36,77.8,0,0,4,1,0,0,6.86,
3,,"Ben Gibson 22, DC",1,22,72.7,0,0,3,1,0,0,7.11,
4,,"Daniel Ayala 24, DC",0,28,60.7,0,0,11,3,0,0,6.96,
5,,"George Friend 27, DL",0,26,57.7,1,0,4,0,0,0,6.91,
6,,"Adam Clayton 26, DMC",0,35,85.7,0,0,5,4,0,0,6.67,
7,,"Grant Leadbitter 29, DMC",1,37,70.3,2,2,8,2,0,0,6.5,
8,,"Albert Adomah 27, AMR",0,24,70.8,3,0,1,0,0,0,6.56,
9,,"Diego Fabbrini (73?)25, AMC",2,22,95.5,0,0,0,0,0,0,6.45,
10,,"Stewart Downing (88?)31, AML",1,40,75,3,1,3,2,0,0,6.26,
11,,"Kike (76?)25, FW",1,19,68.4,0,0,2,2,0,0,7.15,
12,,"Christian Stuani (76?)28, Sub",0,6,66.7,0,0,0,0,0,0,5.87,
13,,"Adam Forshaw (88?)23, Sub",0,3,66.7,0,0,0,0,0,0,6,
14,,"Adam Reach (73?)22, Sub",0,3,33.3,0,0,2,0,0,0,5.94,
15,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Tomás Mejías 26, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Jack Stephens 21, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"David Nugent 30, Sub",0,0,0,0,0,0,0,0,0,-,
