R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,24,33.3,0,0,24,8,0,0,5.53,
2,,"Tomas Kalas 21, DR",0,29,58.6,0,0,7,3,0,0,7.22,
3,,"Ben Gibson 22, DC",0,30,56.7,0,0,7,2,0,0,7.32,
4,,"Daniel Ayala (23?)24, DC",0,6,50,0,0,3,1,0,0,7.18,
5,,"George Friend 27, DL",1,34,50,0,0,6,2,0,0,7.42,
6,,"Adam Clayton 26, DMC",1,34,67.7,2,1,13,6,0,0,7.79,
7,,"Grant Leadbitter (87?)29, DMC",1,44,72.7,2,0,10,6,0,0,7.16,
8,,"Albert Adomah 27, AMR",3,22,77.3,2,1,2,0,0,0,8.92,
9,,"Patrick Bamford 21, AMC",0,27,48.2,0,0,2,0,0,0,7.75,
10,,"Adam Reach 22, AML",2,27,66.7,2,0,4,0,0,0,6.47,
11,,"Jelle Vossen (67?)25, FW",1,19,94.7,0,0,1,1,0,0,7.69,
12,,"Emilio Nsue Lopez (87?)25, Sub",0,3,66.7,0,0,0,0,0,0,5.93,
13,,"Adam Forshaw (67?)23, Sub",3,11,72.7,0,0,0,0,0,0,6.5,
14,,"Jonathan Woodgate (23?)35, Sub",1,25,48,0,0,5,1,0,0,7.27,
15,,"Kike 25, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Connor Ripley 22, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Lee Tomlin 26, Sub",0,0,0,0,0,0,0,0,0,-,
