R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,33,18.2,0,0,32,5,0,0,7.93,
2,,"Dean Whitehead 33, DR",0,37,62.2,1,0,15,4,0,0,6.84,
3,,"Ben Gibson 22, DC",0,22,68.2,0,0,8,2,0,0,7.28,
4,,"Daniel Ayala 24, DC",0,18,77.8,0,0,1,0,0,0,7.93,
5,,"George Friend 27, DL",1,27,77.8,3,1,6,1,0,0,7.6,
6,,"Yanic Wildschut (58?)23, MR",0,11,81.8,2,0,0,0,0,0,6.42,
7,,"Milos Veljkovic (90?)19, MC",0,36,72.2,0,0,4,1,0,0,6.69,
8,,"Grant Leadbitter 29, MC",2,46,84.8,4,2,11,9,0,0,7.88,
9,,"Adam Reach 21, ML",0,21,76.2,1,0,3,1,0,0,7,
10,,"Jelle Vossen (62?)25, AMC",1,14,71.4,2,1,0,0,0,0,6.22,
11,,"Kike 25, FW",1,22,72.7,0,0,1,1,0,0,6.92,
12,,"Patrick Bamford (58?)21, Sub",0,6,33.3,0,0,0,0,0,0,6.7,
13,,"Lee Tomlin (62?)26, Sub",1,13,92.3,0,0,1,1,0,0,5.98,
14,,"Adam Clayton (90?)26, Sub",0,6,66.7,0,0,0,0,0,0,6.03,
15,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Albert Adomah 27, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Kenneth Omeruo 21, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,0,0,0,-,
