R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,31,45.2,0,0,28,11,0,0,5.91,
2,,"Emilio Nsue Lopez (70?)25, DR",0,35,65.7,1,0,5,0,0,0,6.16,
3,,"Ben Gibson 21, DC",0,42,66.7,0,0,13,4,0,0,6.13,
4,,"Daniel Ayala 24, DC",0,35,60,0,0,15,5,0,0,7.01,
5,,"George Friend 27, DL",1,35,71.4,2,1,4,1,0,0,6.41,
6,,"Albert Adomah 26, MR",0,23,52.2,4,2,2,0,0,0,6.99,
7,,"Adam Clayton 25, MC",1,42,83.3,0,0,6,1,1,0,6.76,
8,,"Grant Leadbitter 28, MC",1,57,82.5,5,1,10,7,1,0,6.94,
9,,"Adam Reach (55?)21, ML",0,18,72.2,4,0,1,0,0,0,6.19,
10,,"Lee Tomlin 25, AMC",1,35,62.9,1,0,5,3,0,0,6.37,
11,,"Kike (81?)25, FW",2,28,64.3,1,0,1,1,0,0,6.7,
12,,"Jelle Vossen 25, Sub",0,0,0,0,0,0,0,0,0,-,
13,,"Yanic Wildschut (81?)23, Sub",0,1,100,0,0,0,0,0,0,6.01,
14,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,0,0,0,-,
15,,"James Husband 20, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Dean Whitehead 32, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Patrick Bamford (55?)21, Sub",0,9,55.6,0,0,0,0,0,0,7.05,
18,,"Ryan Fredericks (70?)22, Sub",0,5,40,0,0,0,0,0,0,6.29,
