R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,36,30.6,0,0,33,8,0,0,7.3,
2,,"Tomas Kalas 21, DR",0,28,46.4,0,0,9,1,0,0,7.36,
3,,"Jonathan Woodgate 35, DC",0,35,68.6,0,0,6,2,0,0,7.17,
4,,"Ben Gibson 22, DC",0,32,50,0,0,12,4,0,0,7.51,
5,,"George Friend 27, DL",0,26,50,0,0,3,2,0,0,7.84,
6,,"Grant Leadbitter 29, DMC",1,45,64.4,3,2,6,2,0,0,7.47,
7,,"Adam Clayton 26, DMC",1,39,79.5,0,0,4,2,0,0,7.8,
8,,"Lee Tomlin (85?)26, AMR",1,25,64,1,0,3,0,1,1,7.07,
9,,"Jelle Vossen (80?)25, AMC",1,29,69,0,0,1,1,1,0,6.77,
10,,"Albert Adomah (90?)27, AML",1,25,36,4,2,3,1,0,0,7.36,
11,,"Patrick Bamford 21, FW",0,22,63.6,1,0,0,0,0,0,7.1,
12,,"Emilio Nsue Lopez (90?)25, Sub",0,1,100,0,0,0,0,0,0,6.22,
13,,"Adam Forshaw (80?)23, Sub",0,7,57.1,0,0,0,0,0,0,6.03,
14,,"Adam Reach (85?)22, Sub",0,1,100,0,0,0,0,0,0,5.99,
15,,"Kenneth Omeruo 21, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Kike 25, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Connor Ripley 22, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,0,0,0,-,
