R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,20,65,0,0,14,7,0,0,7.05,
2,,"Emilio Nsue Lopez 25, DR",0,65,84.6,2,0,6,1,0,0,7.12,
3,,"Daniel Ayala 24, DC",0,36,86.1,0,0,8,4,0,0,7.12,
4,,"Tomas Kalas 22, DC",0,27,92.6,0,0,3,1,0,0,7.63,
5,,"George Friend 27, DL",0,71,84.5,1,0,6,2,0,0,7.35,
6,,"Grant Leadbitter 29, DMC",0,69,91.3,1,0,12,9,1,0,7.89,
7,,"Adam Clayton 26, DMC",1,78,93.6,0,0,8,7,0,0,7.49,
8,,"Albert Adomah (73?)27, AMR",2,35,77.1,7,1,2,1,0,0,8.11,
9,,"Diego Fabbrini (63?)25, AMC",1,29,82.8,1,0,0,0,1,1,8.71,
10,,"Stewart Downing 31, AML",5,70,87.1,9,4,12,7,0,0,7.62,
11,,"Kike (82?)25, FW",1,21,52.4,0,0,1,0,0,0,8.66,
12,,"Adam Forshaw (73?)23, Sub",0,16,93.8,0,0,0,0,0,0,6.05,
13,,"David Nugent (82?)30, Sub",1,8,75,0,0,0,0,0,0,6.03,
14,,"Christian Stuani (63?)28, Sub",0,9,100,0,0,0,0,0,0,6.24,
15,,"Tomás Mejías 26, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Jack Stephens 21, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"James Husband 21, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Dael Fry 18, Sub",0,0,0,0,0,0,0,0,0,-,
