R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,30,40,0,0,28,10,0,0,6.2,
2,,"Ryan Fredericks 22, DR",1,40,77.5,8,2,6,2,0,0,6.77,
3,,"Kenneth Omeruo 21, DC",1,73,64.4,0,0,20,6,0,0,7.33,
4,,"Ben Gibson 22, DC",0,62,75.8,0,0,15,5,0,0,7.2,
5,,"George Friend 27, DL",0,45,82.2,1,0,3,1,0,0,7.08,
6,,"Grant Leadbitter 29, DMC",4,68,75,9,6,16,11,0,0,8.81,
7,,"Adam Clayton 26, DMC",2,74,89.2,0,0,10,9,0,0,7.69,
8,,"Albert Adomah (71?)27, AMR",0,22,63.6,2,0,2,2,0,0,6.32,
9,,"Lee Tomlin 26, AMC",5,57,80.7,1,1,7,7,2,2,9.44,
10,,"Jelle Vossen (88?)25, AML",0,36,75,1,0,1,0,0,0,7.37,
11,,"Patrick Bamford (71?)21, FW",2,28,67.9,1,1,1,0,0,0,7.79,
12,,"Kike (88?)25, Sub",0,0,0,0,0,0,0,0,0,6.1,
13,,"Adam Reach (71?)22, Sub",0,15,53.3,1,0,1,0,0,0,6.14,
14,,"Adam Forshaw (71?)23, Sub",0,13,76.9,0,0,0,0,0,0,6.07,
15,,"Tomas Kalas 21, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Tomás Mejías 26, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Jonathan Woodgate 35, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,0,0,0,-,
