R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,35,28.6,0,0,34,9,0,0,6.54,
2,,"Emilio Nsue Lopez 25, DR",1,38,76.3,0,0,10,6,0,0,7.08,
3,,"Kenneth Omeruo 21, DC",1,42,50,0,0,19,4,0,0,7.34,
4,,"Daniel Ayala 24, DC",0,43,41.9,0,0,18,3,0,0,7,
5,,"George Friend 27, DL",0,58,55.2,1,0,11,1,0,0,6.79,
6,,"Albert Adomah 26, MR",2,33,57.6,5,2,6,2,0,0,6.6,
7,,"Adam Clayton (62?)25, MC",0,19,79,0,0,2,0,0,0,6.61,
8,,"Grant Leadbitter 28, MC",2,43,74.4,5,2,9,4,0,0,6.61,
9,,"Adam Reach (80?)21, ML",2,21,52.4,3,2,7,1,0,0,7.68,
10,,"Jelle Vossen (70?)25, FW",1,16,81.3,0,0,0,0,0,0,9.22,   
11,,"Patrick Bamford 21, FW",2,15,66.7,1,0,0,0,0,0,7.06,
12,,"Yanic Wildschut (80?)23, Sub",0,0,0,0,0,0,0,0,0,5.84,
13,,"Milos Veljkovic (62?)19, Sub",1,21,71.4,0,0,4,2,1,1,6.56,
14,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,0,0,0,-,
15,,"Kike (70?)25, Sub",0,8,100,0,0,0,0,0,0,7.25,
16,,"Ben Gibson 21, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Dean Whitehead 32, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Lee Tomlin 25, Sub",0,0,0,0,0,0,0,0,0,-,
