R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,22,22.7,0,0,22,5,0,0,6.1,
2,,"Kenneth Omeruo (57?)21, DR",0,17,35.3,0,0,5,1,0,0,6.25,
3,,"Tomas Kalas 21, DC",1,28,78.6,0,0,5,1,0,0,6.88,
4,,"Ben Gibson 22, DC",1,26,50,0,0,15,5,0,0,6.77,
5,,"James Husband 21, DL",0,25,60,0,0,5,1,0,0,6.03,
6,,"Adam Clayton 26, DMC",0,38,65.8,4,1,5,0,0,0,6.13,
7,,"Dean Whitehead (57?)33, DMC",0,33,54.6,0,0,5,2,0,0,6.47,
8,,"Albert Adomah 27, AMR",0,42,71.4,1,0,8,4,0,0,6.75,
9,,"Adam Forshaw (71?)23, AMC",1,32,75,1,1,5,3,0,0,6.58,
10,,"Patrick Bamford 21, AML",1,26,69.2,1,0,2,2,0,0,6.23,
11,,"Kike 25, FW",0,29,65.5,2,0,1,1,0,0,6.85,
12,,"Yanic Wildschut (71?)23, Sub",0,4,75,0,0,0,0,0,0,6.1,
13,,"Lee Tomlin (57?)26, Sub",3,16,68.8,0,0,1,0,0,0,6.14,
14,,"Grant Leadbitter (57?)29, Sub",2,19,94.7,2,1,1,1,0,0,6.24,
15,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Connor Ripley 22, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Jonathan Woodgate 35, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"George Friend 27, Sub",0,0,0,0,0,0,0,0,0,-,
