R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,28,14.3,0,0,28,4,0,0,6.98,
2,,"Emilio Nsue Lopez 25, DR",1,14,85.7,1,1,3,2,0,0,6.75,
3,,"Ben Gibson 21, DC",0,32,65.6,0,0,10,0,0,0,6.89,
4,,"Daniel Ayala 24, DC",0,32,56.3,0,0,16,6,0,0,7.62,
5,,"George Friend 27, DL",0,34,76.5,4,0,2,1,0,0,7.07,
6,,"Albert Adomah 27, MR",3,28,71.4,8,2,0,0,0,0,7.04,
7,,"Grant Leadbitter 28, MC",2,47,87.2,8,1,6,5,1,1,8.28,
8,,"Adam Clayton 25, MC",1,47,74.5,0,0,6,3,0,0,7.73,
9,,"Adam Reach 21, ML",1,29,72.4,4,1,5,0,0,0,6.96,
10,,"Jelle Vossen (77?)25, FW",1,27,70.4,0,0,3,0,1,1,7,
11,,"Patrick Bamford (73?)21, FW",0,18,66.7,0,0,1,0,0,0,8.23,
12,,"Yanic Wildschut (77?)23, Sub",0,2,0,0,0,0,0,0,0,6.3,
13,,"Kike (73?)25, Sub",0,7,57.1,0,0,0,0,0,0,5.83,
14,,"Kenneth Omeruo 21, Sub",0,0,0,0,0,0,0,0,0,-,
15,,"Milos Veljkovic 19, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Dean Whitehead 32, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"James Husband 20, Sub",0,0,0,0,0,0,0,0,0,-,
