R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 35, GK",0,32,50,0,0,29,13,0,0,6.4,
2,,"Ryan Fredericks 22, DR",2,30,73.3,0,0,6,2,0,0,7.59,
3,,"Daniel Ayala 23, DC",1,35,80,1,1,7,3,0,0,7.81,
4,,"Ben Gibson 21, DC",0,32,84.4,0,0,5,0,0,0,6.47,
5,,"George Friend 27, DL",0,43,65.1,0,0,9,0,0,0,6.38,
6,,"Albert Adomah (83?)26, MR",1,29,62.1,3,1,2,1,0,0,8.1,
7,,"Grant Leadbitter 28, MC",0,38,76.3,3,0,7,4,0,0,6.86,
8,,"Adam Clayton (59?)25, MC",0,28,89.3,0,0,5,3,0,0,7.57,
9,,"Adam Reach 21, ML",2,34,79.4,1,0,6,2,0,0,6.48,
10,,"Lee Tomlin (45?)25, AMC",1,10,60,0,0,1,0,0,0,7.25,
11,,"Kike 24, FW",0,25,84,1,0,1,1,0,0,5.96,
12,,"Dean Whitehead (59?)32, Sub",0,20,85,0,0,2,1,0,0,6.26,
13,,"Jelle Vossen (45?)25, Sub",0,12,91.7,0,0,1,1,0,0,6.44,
14,,"Emilio Nsue Lopez (83?)25, Sub",0,3,66.7,0,0,1,0,0,0,5.95,
15,,"Yanic Wildschut 23, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Jamal Blackman 21, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Patrick Bamford 21, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Milos Veljkovic 19, Sub",0,0,0,0,0,0,0,0,0,-,
