R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 35, GK",0,27,29.6,0,0,24,5,0,0,7.1,
2,,"Ryan Fredericks 22, DR",1,37,70.3,4,1,4,1,0,0,6.98,
3,,"Ben Gibson 21, DC",0,54,74.1,0,0,8,2,0,0,6.83,
4,,"Daniel Ayala 24, DC",0,54,75.9,0,0,15,6,0,0,7.52,
5,,"George Friend 27, DL",1,44,77.3,3,1,9,3,0,0,7.89,
6,,"Adam Clayton 25, DMC",2,56,78.6,0,0,7,2,0,0,6.75,
7,,"Grant Leadbitter 28, DMC",0,60,81.7,4,1,10,4,0,0,6.48,
8,,"Yanic Wildschut (45?)23, AMR",1,16,81.3,1,0,0,0,0,0,6.21,
9,,"Lee Tomlin (79?)25, AMC",3,30,90,1,0,2,1,1,0,6.63,
10,,"Adam Reach 21, AML",0,27,74.1,3,1,5,2,0,0,7.19,
11,,"Patrick Bamford (67?)21, FW",0,13,61.5,0,0,0,0,0,0,6.38,
12,,"Jelle Vossen (79?)25, Sub",0,5,20,1,0,0,0,0,0,5.97,
13,,"Albert Adomah (67?)26, Sub",0,5,40,1,0,2,0,0,0,6.13,
14,,"Milos Veljkovic 19, Sub",0,0,0,0,0,0,0,0,0,-,
15,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Kike (45?)24, Sub",0,13,61.5,0,0,0,0,0,0,5.9,
18,,"Dean Whitehead 32, Sub",0,0,0,0,0,0,0,0,0,-,
