R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Tomás Mejías 26, GK",0,19,73.7,0,0,13,8,0,0,5.56,
2,,"Emilio Nsue Lopez (65?)25, DR",1,39,71.8,5,1,4,1,0,0,6.81,
3,,"Tomas Kalas 21, DC",0,34,61.8,0,0,9,4,0,0,7.4,
4,,"Ben Gibson 22, DC",0,47,83,0,0,12,8,0,0,6.32,
5,,"George Friend 27, DL",3,30,80,4,0,4,2,0,0,6.5,
6,,"Albert Adomah 27, MR",4,32,75,16,4,3,1,0,0,7.23,
7,,"Adam Clayton 26, MC",2,63,92.1,2,2,7,4,0,0,6.88,
8,,"Grant Leadbitter (78?)29, MC",2,50,78,16,6,3,2,0,0,6.57,
9,,"Adam Reach (56?)22, ML",2,16,68.8,3,1,3,1,0,0,6.44,
10,,"Jelle Vossen 25, FW",3,33,69.7,0,0,2,2,0,0,7.13,
11,,"Kike 25, FW",0,29,82.8,1,0,2,2,0,0,7.07,
12,,"Lee Tomlin (56?)26, Sub",2,21,71.4,1,0,3,1,0,0,6.28,
13,,"Adam Forshaw (78?)23, Sub",0,8,87.5,2,0,0,0,0,0,5.88,
14,,"Patrick Bamford (65?)21, Sub",0,4,100,1,0,0,0,0,0,6,
15,,"Kenneth Omeruo 21, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"James Husband 21, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Connor Ripley 22, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,0,0,0,-,
