R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,32,31.3,0,0,29,7,0,0,6.35,
2,,"Emilio Nsue Lopez 25, DR",2,41,70.7,6,1,7,4,0,0,6.39,
3,,"Kenneth Omeruo (61?)21, DC",0,21,52.4,0,0,7,1,0,0,6.62,
4,,"Daniel Ayala 24, DC",0,26,57.7,0,0,12,3,0,0,7.31,
5,,"George Friend 27, DL",1,45,71.1,0,0,9,2,0,0,7.05,
6,,"Albert Adomah (45?)27, MR",0,14,57.1,0,0,2,0,0,0,5.63,
7,,"Adam Clayton 26, MC",1,67,79.1,0,0,15,11,0,0,6.9,
8,,"Grant Leadbitter 29, MC",1,51,70.6,10,2,11,5,0,0,6.59,
9,,"Adam Reach 21, ML",2,24,79.2,9,4,4,2,0,0,6.61,
10,,"Jelle Vossen (61?)25, FW",1,19,79,1,0,0,0,0,0,5.77,
11,,"Patrick Bamford 21, FW",1,25,64,0,0,1,0,0,0,5.6,
12,,"Milos Veljkovic (61?)19, Sub",0,11,81.8,0,0,4,2,0,0,6.19,
13,,"Kike (61?)25, Sub",0,7,85.7,0,0,1,0,0,0,6.01,
14,,"Lee Tomlin (45?)26, Sub",0,22,77.3,3,0,4,2,0,0,6.21,
15,,"Yanic Wildschut 23, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Ben Gibson 22, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,0,0,0,-,
