R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Jamal Blackman 21, GK",0,33,24.2,0,0,31,6,0,0,4.81,
2,,"Ryan Fredericks 22, DR",2,25,60,1,1,6,0,0,0,7.42,
3,,"Kenneth Omeruo 21, DC",0,25,76,0,0,8,4,0,0,8.17,
4,,"Daniel Ayala 24, DC",0,28,89.3,0,0,10,8,1,1,8.67,
5,,"George Friend 27, DL",0,40,77.5,2,0,7,4,0,0,7.89,
6,,"Albert Adomah 27, MR",1,21,76.2,4,1,1,1,0,0,6.63,
7,,"Adam Clayton 26, MC",0,37,75.7,1,0,6,2,0,0,7.76,  
8,,"Grant Leadbitter (111?)29, MC",3,51,76.5,9,5,10,4,0,0,7.94,
9,,"Adam Reach 22, ML",1,22,72.7,0,0,2,1,0,0,8.23,   
10,,"Lee Tomlin (111?)26, AMC",3,36,80.6,2,1,4,2,1,1,7.43,
11,,"Kike (75?)25, FW",0,20,45,0,0,0,0,0,0,6.15,
12,,"Jelle Vossen (111?)25, Sub",0,0,0,0,0,0,0,0,0,6.47,
13,,"Yanic Wildschut (75?)23, Sub",0,10,30,2,0,3,1,0,0,6.45,
14,,"Patrick Bamford (111?)21, Sub",0,3,66.7,0,0,0,0,0,0,7.25,  
15,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Dimitrios Konstantopoulos 36, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"James Husband 21, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Ben Gibson 22, Sub",0,0,0,0,0,0,0,0,0,-,
