R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,22,54.6,0,0,19,9,0,0,7.91,
2,,"Tomas Kalas 21, DR",0,43,69.8,3,0,2,2,0,0,7.49,
3,,"Ben Gibson 22, DC",0,67,82.1,0,0,13,5,0,0,7.11,
4,,"Daniel Ayala 24, DC",0,48,75,0,0,5,3,0,0,7.84,
5,,"George Friend 27, DL",1,46,78.3,0,0,4,3,0,0,7.44,
6,,"Grant Leadbitter 29, DMC",2,57,87.7,9,6,11,6,1,1,7.56,
7,,"Adam Clayton 26, DMC",1,43,83.7,0,0,7,4,0,0,7.28,
8,,"Lee Tomlin 26, AMR",2,37,83.8,1,0,4,3,0,0,8.2,  
9,,"Patrick Bamford (73?)21, AMC",2,16,62.5,0,0,3,2,0,0,6.32,
10,,"Albert Adomah 27, AML",1,27,74.1,4,2,1,0,0,0,7.27,
11,,"Kike (83?)25, FW",4,30,86.7,0,0,2,2,0,0,7.34,
12,,"Jelle Vossen (83?)25, Sub",0,1,0,0,0,0,0,0,0,6.13,
13,,"Adam Reach (73?)21, Sub",0,9,66.7,0,0,0,0,0,0,6.42,
14,,"Emmanuel Ledesma 26, Sub",0,0,0,0,0,0,0,0,0,-,
15,,"Kenneth Omeruo 21, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"James Husband 21, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,0,0,0,-,
