R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,19,94.7,0,0,8,7,0,0,6.19,
2,,"Ryan Fredericks (38?)22, DR",0,9,44.4,7,0,0,0,0,0,5.87,
3,,"Tomas Kalas 21, DC",0,38,86.8,0,0,3,2,0,0,6.53,
4,,"Ben Gibson 22, DC",0,48,79.2,0,0,5,1,0,0,5.94,
5,,"George Friend 27, DL",2,55,78.2,1,0,4,1,0,0,6.92,
6,,"Grant Leadbitter (82?)29, DMC",2,62,91.9,7,4,5,3,0,0,7.97,
7,,"Adam Clayton 26, DMC",5,81,86.4,0,0,14,10,0,0,7.12,
8,,"Albert Adomah (69?)27, AMR",4,43,83.7,3,1,2,1,0,0,6.62,
9,,"Lee Tomlin 26, AMC",5,64,85.9,0,0,8,7,0,0,7.46,
10,,"Patrick Bamford 21, AML",2,29,79.3,3,2,2,0,0,0,6.2,
11,,"Kike 25, FW",2,15,93.3,0,0,0,0,0,0,6.25,
12,,"Jelle Vossen (69?)25, Sub",1,2,50,0,0,0,0,0,0,6.11,
13,,"Emilio Nsue Lopez (38?)25, Sub",2,37,75.7,8,1,6,0,0,0,6.67,
14,,"Adam Forshaw (82?)23, Sub",0,9,88.9,0,0,2,1,0,0,6.33,
15,,"Connor Ripley 22, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Jonathan Woodgate 35, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Adam Reach 22, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,0,0,0,-,
