R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,16,43.8,0,0,12,3,0,0,6.63,
2,,"Emilio Nsue Lopez 25, DR",1,41,53.7,2,1,13,0,0,0,6.64,
3,,"Daniel Ayala 24, DC",0,34,55.9,0,0,14,4,0,0,6.74,
4,,"Ben Gibson 22, DC",0,26,76.9,0,0,7,5,0,0,6.02,
5,,"George Friend 27, DL",0,32,71.9,1,0,2,1,0,0,6.46,
6,,"Grant Leadbitter 29, DMC",1,49,71.4,7,2,9,5,0,0,6.88,
7,,"Adam Clayton 26, DMC",2,51,82.4,0,0,9,6,0,0,7.39,
8,,"Stewart Downing (67?)31, AMR",1,31,80.7,5,1,3,2,0,0,6.59,
9,,"Diego Fabbrini (83?)25, AMC",0,22,86.4,1,0,1,1,0,0,7.19,
10,,"Adam Reach 22, AML",2,31,67.7,4,1,4,0,0,0,7.92,
11,,"Kike (58?)25, FW",0,12,66.7,0,0,0,0,0,0,6.52,
12,,"Adam Forshaw (83?)23, Sub",0,5,80,0,0,0,0,0,0,6.5,
13,,"David Nugent (58?)30, Sub",2,9,100,2,1,0,0,0,0,7.04,
14,,"Christian Stuani (67?)28, Sub",0,12,58.3,0,0,1,0,0,0,7.13,
15,,"Tomas Kalas 22, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Jonathan Woodgate 35, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Jack Stephens 21, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Tomás Mejías 26, Sub",0,0,0,0,0,0,0,0,0,-,
