R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,29,44.8,0,0,22,6,0,0,6.05,
2,,"Dwight Tiendalli (62?)29, DR",1,42,81,2,0,4,3,0,0,6.58,
3,,"Fernando Amorebieta 30, DC",0,31,67.7,0,0,6,1,0,0,7.9,
4,,"Jonathan Woodgate 35, DC",0,38,79,0,0,7,1,0,0,6.31,
5,,"George Friend 27, DL",2,47,59.6,2,2,13,5,0,0,7.39,
6,,"Adam Clayton (83?)26, DMC",1,58,74.1,0,0,11,9,0,0,7.26,
7,,"Grant Leadbitter 29, DMC",2,67,83.6,7,2,10,6,0,0,6.09,
8,,"Albert Adomah 27, AMR",1,29,75.9,8,1,3,0,0,0,6.41,
9,,"Lee Tomlin (61?)26, AMC",1,31,64.5,0,0,7,3,0,0,6.58,
10,,"Adam Reach 22, AML",0,28,71.4,0,0,1,0,0,0,5.77,
11,,"Patrick Bamford 21, FW",0,22,63.6,0,0,2,2,0,0,5.73,
12,,"Tomas Kalas (62?)21, Sub",1,19,84.2,2,1,3,1,0,0,6.59,
13,,"Kike (61?)25, Sub",1,11,90.9,0,0,0,0,0,0,6.2,
14,,"Adam Forshaw (83?)23, Sub",1,9,88.9,0,0,1,1,1,1,6.16,
15,,"Jelle Vossen 26, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Ben Gibson 22, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Connor Ripley 22, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,0,0,0,-,
