R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,21,52.4,0,0,17,7,0,0,6.79,
2,,"Tomas Kalas 21, DR",1,31,77.4,4,2,5,1,0,0,7.03,
3,,"Ben Gibson 22, DC",0,62,82.3,0,0,13,6,0,0,7.27,
4,,"Daniel Ayala (69?)24, DC",0,42,69.1,0,0,9,3,0,0,7.69,
5,,"George Friend 27, DL",0,65,72.3,2,0,10,2,0,0,6.75,
6,,"Adam Clayton (78?)26, DMC",3,59,84.8,2,2,11,9,0,0,7.79,
7,,"Adam Forshaw 23, DMC",5,60,85,3,2,9,7,1,1,8.19,
8,,"Albert Adomah 27, AMR",1,35,62.9,5,2,1,0,0,0,7.18,
9,,"Lee Tomlin (84?)26, AMC",2,35,68.6,0,0,4,3,0,0,8.47,
10,,"Patrick Bamford 21, AML",1,35,74.3,1,0,3,2,0,0,7.01,
11,,"Kike 25, FW",1,27,81.5,0,0,0,0,0,0,7.08,
12,,"Emilio Nsue Lopez (84?)25, Sub",0,3,66.7,0,0,1,0,0,0,6.03,
13,,"Jonathan Woodgate (69?)35, Sub",0,9,55.6,0,0,3,0,0,0,6.37,
14,,"Dean Whitehead (78?)33, Sub",0,7,85.7,0,0,2,1,0,0,6.18,
15,,"Jelle Vossen 26, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Yanic Wildschut 23, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Fernando Amorebieta 30, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Connor Ripley 22, Sub",0,0,0,0,0,0,0,0,0,-,
