R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 35, GK",0,27,14.8,0,0,24,1,0,0,5.9,
2,,"Ryan Fredericks 22, DR",1,28,64.3,2,0,4,1,0,0,7.41,
3,,"Daniel Ayala 23, DC",0,28,53.6,0,0,11,5,0,0,6.3,
4,,"Kenneth Omeruo 21, DC",0,31,74.2,0,0,7,1,0,0,6.2,
5,,"George Friend 27, DL",1,52,80.8,2,1,8,3,0,0,6.69,
6,,"Albert Adomah 26, MR",2,24,83.3,5,2,1,0,0,0,7.33,
7,,"Dean Whitehead 32, MC",0,50,90,0,0,1,0,0,0,6.49,
8,,"Grant Leadbitter 28, MC",2,65,83.1,7,0,14,9,0,0,6.41,
9,,"Adam Reach (64?)21, ML",0,28,78.6,0,0,3,1,0,0,6.49,
10,,"Jelle Vossen (75?)25, FW",1,18,66.7,2,0,0,0,1,1,6.33,
11,,"Patrick Bamford (63?)21, FW",1,14,78.6,0,0,0,0,0,0,6.24,
12,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,0,0,0,-,
13,,"Kike (63?)24, Sub",0,8,75,0,0,1,1,0,0,5.95,
14,,"Ben Gibson 21, Sub",0,0,0,0,0,0,0,0,0,-,
15,,"Yanic Wildschut (75?)23, Sub",0,4,100,1,1,0,0,0,0,5.96,
16,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Lee Tomlin (64?)25, Sub",1,16,81.3,0,0,0,0,0,0,5.86,
18,,"Milos Veljkovic 19, Sub",0,0,0,0,0,0,0,0,0,-,
