R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Tomás Mejías 26, GK",0,26,34.6,0,0,25,8,0,0,8.18,
2,,"Ryan Fredericks 22, DR",1,20,55,3,2,4,0,0,0,7.67,
3,,"Kenneth Omeruo 21, DC",0,40,77.5,0,0,6,3,0,0,7.25,
4,,"Ben Gibson 22, DC",0,37,83.8,0,0,9,4,0,0,6.13,
5,,"George Friend 27, DL",0,39,76.9,1,0,4,2,0,0,6.62,
6,,"Adam Clayton 26, DMC",0,50,82,0,0,4,1,0,0,6.73,
7,,"Grant Leadbitter 29, DMC",1,50,90,2,0,2,1,0,0,6.09,
8,,"Patrick Bamford (53?)21, AMR",0,14,64.3,1,0,3,0,0,0,5.96,
9,,"Lee Tomlin (53?)26, AMC",0,23,69.6,0,0,4,2,1,0,5.78,
10,,"Albert Adomah 27, AML",0,26,69.2,1,0,1,0,0,0,6.04,
11,,"Kike 25, FW",0,18,66.7,0,0,0,0,0,0,5.98,
12,,"Jelle Vossen (53?)25, Sub",1,18,72.2,1,0,0,0,0,0,5.95,
13,,"Adam Reach (53?)22, Sub",0,18,77.8,1,0,1,1,0,0,6.2,
14,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,0,0,0,-,
15,,"James Husband 21, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Connor Ripley 22, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Jonathan Woodgate 35, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,0,0,0,-,
