R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 35, GK",0,19,68.4,0,0,11,5,0,0,6.9,
2,,"Ryan Fredericks 22, DR",3,30,53.3,6,4,7,1,0,0,7.14,
3,,"Daniel Ayala 23, DC",0,31,80.7,0,0,5,1,0,0,7.19,
4,,"Ben Gibson 21, DC",1,41,56.1,0,0,16,4,0,0,6.17,
5,,"George Friend 27, DL",3,36,72.2,9,2,2,1,0,0,7.03,
6,,"Dean Whitehead 32, DMC",0,59,86.4,0,0,9,7,0,0,6.81,
7,,"Adam Clayton 25, DMC",0,48,89.6,4,1,8,6,0,0,7.12,
8,,"Albert Adomah 26, AMR",1,25,96,6,1,3,3,0,0,6.5,
9,,"Lee Tomlin (82?)25, AMC",1,61,85.3,0,0,11,6,1,0,6.34,
10,,"Patrick Bamford (72?)21, AML",1,19,79,1,1,1,1,0,0,6.44,
11,,"Kike 24, FW",2,24,83.3,1,0,1,1,0,0,7.22,
12,,"Jelle Vossen (82?)25, Sub",0,2,50,0,0,0,0,0,0,5.91,
13,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,0,0,0,-,
14,,"James Husband 20, Sub",0,0,0,0,0,0,0,0,0,-,
15,,"Adam Reach (72?)21, Sub",0,4,100,2,1,1,1,0,0,6.06,
16,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Kenneth Omeruo 21, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Milos Veljkovic 19, Sub",0,0,0,0,0,0,0,0,0,-,
