R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,19,31.6,0,0,17,4,0,0,6.38,
2,,"Ryan Fredericks (60?)22, DR",0,23,69.6,3,1,6,3,0,0,6.21,
3,,"Ben Gibson 22, DC",0,28,57.1,0,0,8,2,0,0,5.78,
4,,"Daniel Ayala 24, DC",0,30,53.3,0,0,8,0,0,0,6.9,
5,,"George Friend 27, DL",1,31,67.7,2,0,7,2,0,0,5.49,
6,,"Grant Leadbitter 29, DMC",2,68,85.3,6,0,10,5,0,0,6.29,
7,,"Adam Clayton (60?)26, DMC",0,38,81.6,1,1,5,1,0,0,5.76,
8,,"Albert Adomah 27, AMR",3,26,76.9,11,4,2,2,0,0,8.2,
9,,"Jelle Vossen (60?)26, AMC",0,14,92.9,1,0,1,1,0,0,6.15,
10,,"Lee Tomlin 26, AML",4,56,76.8,1,0,13,8,0,0,7.39,
11,,"Patrick Bamford 21, FW",1,29,51.7,2,0,0,0,0,0,6.36,
12,,"Kike (60?)25, Sub",1,10,70,0,0,0,0,0,0,7.16,
13,,"Adam Forshaw (60?)23, Sub",1,21,90.5,2,2,0,0,1,0,6.7,
14,,"Adam Reach (60?)22, Sub",1,15,80,2,1,3,0,0,0,7.84,
15,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Dwight Tiendalli 29, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Connor Ripley 22, Sub",0,0,0,0,0,0,0,0,0,-,
