R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,16,18.8,0,0,16,3,0,0,7.28,
2,,"Tomas Kalas 21, DR",2,43,76.7,2,2,4,3,0,0,8.5,
3,,"Ben Gibson 22, DC",0,26,76.9,0,0,6,2,0,0,7.56,
4,,"Jonathan Woodgate 35, DC",0,33,72.7,0,0,7,4,0,0,9.96,
5,,"George Friend 27, DL",1,43,72.1,3,2,6,2,0,0,7.32,
6,,"Adam Clayton 26, DMC",0,56,66.1,2,0,13,6,0,0,7.19,
7,,"Grant Leadbitter 29, DMC",1,51,80.4,7,2,15,12,0,0,7.05,
8,,"Albert Adomah 27, AMR",0,27,77.8,7,1,0,0,0,0,7.49,
9,,"Patrick Bamford (87?)21, AMC",1,28,78.6,1,0,1,1,0,0,7.63,
10,,"Adam Reach 22, AML",1,32,78.1,3,1,3,1,0,0,6.97,
11,,"Jelle Vossen (67?)26, FW",2,23,65.2,0,0,3,2,0,0,6.51,
12,,"Kike (87?)25, Sub",0,3,100,0,0,0,0,0,0,6.04,
13,,"Lee Tomlin (67?)26, Sub",0,6,83.3,0,0,0,0,0,0,6.34,
14,,"Dwight Tiendalli 29, Sub",0,0,0,0,0,0,0,0,0,-,
15,,"Fernando Amorebieta 30, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Adam Forshaw 23, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Connor Ripley 22, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,0,0,0,-,
