R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,28,46.4,0,0,24,9,0,0,7.62,
2,,"Ryan Fredericks 22, DR",0,32,71.9,4,0,6,3,0,0,7.28,
3,,"Tomas Kalas 21, DC",0,30,83.3,0,0,4,3,0,0,8.17,
4,,"Ben Gibson 22, DC",0,27,77.8,0,0,7,3,0,0,7.64,
5,,"George Friend 27, DL",2,44,68.2,2,1,13,5,0,0,8.38,
6,,"Adam Clayton 26, DMC",2,53,92.5,1,1,9,8,1,1,7.7,
7,,"Grant Leadbitter (81?)29, DMC",1,36,94.4,2,0,6,6,0,0,7.2,
8,,"Albert Adomah 27, AMR",2,34,76.5,3,1,3,2,0,0,7.47,
9,,"Lee Tomlin (73?)26, AMC",1,33,69.7,0,0,0,0,0,0,6.61,
10,,"Patrick Bamford (82?)21, AML",1,32,81.3,1,0,3,0,0,0,8.36,
11,,"Kike 25, FW",0,22,90.9,0,0,0,0,0,0,7.64,
12,,"Jelle Vossen (73?)25, Sub",0,3,66.7,0,0,0,0,0,0,6.95,
13,,"Yanic Wildschut (82?)23, Sub",0,2,50,0,0,0,0,0,0,6.09,
14,,"Adam Forshaw (81?)23, Sub",0,4,100,0,0,0,0,0,0,6.19,
15,,"Connor Ripley 22, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Jonathan Woodgate 35, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Adam Reach 22, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,0,0,0,-,
