R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 35, GK",0,21,42.9,0,0,19,7,0,0,7.11,
2,,"Ryan Fredericks 22, DR",1,32,78.1,4,1,6,4,0,0,7.34,
3,,"Daniel Ayala 23, DC",1,25,68,0,0,5,2,0,0,8.98,
4,,"Kenneth Omeruo 20, DC",0,21,85.7,0,0,8,5,0,0,7.42,
5,,"George Friend 26, DL",1,37,78.4,1,0,6,3,0,0,7.7,
6,,"Grant Leadbitter 28, DMC",2,51,78.4,7,3,6,2,0,0,7.63,
7,,"Adam Clayton 25, DMC",1,54,81.5,3,0,8,4,0,0,7.13,
8,,"Albert Adomah 26, AMR",1,24,66.7,7,2,2,0,0,0,7.8,
9,,"Lee Tomlin (66?)25, AMC",1,18,83.3,1,0,1,1,0,0,6.95,
10,,"Adam Reach (93?)21, AML",1,29,79.3,4,1,6,2,0,0,8.47,
11,,"Kike (82?)24, FW",1,30,76.7,1,1,2,1,0,0,7.63,
12,,"Dean Whitehead (82?)32, Sub",0,5,100,0,0,0,0,0,0,6.24,
13,,"Jelle Vossen (66?)25, Sub",1,9,88.9,0,0,0,0,0,0,6.68,
14,,"Emilio Nsue Lopez (93?)25, Sub",1,3,66.7,0,0,0,0,0,0,6.32,
15,,"Luke Williams 21, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Ben Gibson 21, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Yanic Wildschut 22, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Jamal Blackman 20, Sub",0,0,0,0,0,0,0,0,0,-,
