R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 36, GK",0,26,30.8,0,0,25,7,0,0,7.09,
2,,"Tomas Kalas 21, DR",2,20,50,1,1,8,1,0,0,7.8,
3,,"Ben Gibson 22, DC",0,19,47.4,0,0,10,2,0,0,7.34,
4,,"Daniel Ayala 24, DC",0,17,52.9,1,0,8,3,0,0,8.95,
5,,"George Friend 27, DL",0,15,66.7,1,0,5,1,0,0,7.71,
6,,"Adam Clayton 26, DMC",1,22,50,0,0,5,0,0,0,7.52,
7,,"Grant Leadbitter 29, DMC",2,28,50,8,3,8,1,0,0,7.12,
8,,"Albert Adomah 27, AMR",1,9,33.3,3,3,4,0,0,0,6.61,
9,,"Jelle Vossen (59?)26, AMC",1,10,40,0,0,0,0,0,0,6.43,
10,,"Lee Tomlin (91?)26, AML",1,22,63.6,2,0,3,0,1,1,6.99,
11,,"Patrick Bamford (84?)21, FW",1,20,50,0,0,0,0,0,0,6.45,
12,,"Fernando Amorebieta (91?)30, Sub",0,0,0,0,0,0,0,0,0,6.27,
13,,"Kike (84?)25, Sub",0,2,100,0,0,0,0,0,0,6.02,
14,,"Adam Forshaw (59?)23, Sub",0,7,42.9,0,0,1,0,0,0,6.13,
15,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,0,0,0,-,
16,,"Connor Ripley 22, Sub",0,0,0,0,0,0,0,0,0,-,
17,,"Dean Whitehead 33, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Adam Reach 22, Sub",0,0,0,0,0,0,0,0,0,-,
