R,,Name,KeyPasses,Passes,PA%,Crosses,AccCrosses,LB,AccLB,ThB,AccThB,Rating,KeyEvents
1,,"Dimitrios Konstantopoulos 35, GK",0,32,46.9,0,0,25,8,0,0,7.43,
2,,"Ryan Fredericks 22, DR",0,21,76.2,1,0,6,2,0,0,7.16,
3,,"Daniel Ayala 23, DC",0,33,84.9,0,0,6,1,0,0,7.37,
4,,"Ben Gibson 21, DC",0,41,70.7,0,0,12,2,0,0,6.82,
5,,"George Friend 27, DL",1,35,82.9,2,1,3,2,0,0,7.79,
6,,"Grant Leadbitter 28, DMC",2,39,79.5,10,4,6,2,0,0,8.88,  
7,,"Adam Clayton 25, DMC",0,47,85.1,0,0,6,4,0,0,7.25,
8,,"Albert Adomah (48?)26, AMR",1,20,80,2,0,1,0,0,0,7.03,
9,,"Lee Tomlin 25, AMC",2,34,88.2,0,0,4,2,0,0,7.63,
10,,"Patrick Bamford (74?)21, AML",1,19,73.7,0,0,1,1,1,0,8.07,
11,,"Kike (67?)24, FW",1,15,80,0,0,0,0,0,0,6.7,
12,,"Dean Whitehead 32, Sub",0,0,0,0,0,0,0,0,0,-,
13,,"Jelle Vossen (74?)25, Sub",0,1,0,0,0,0,0,0,0,6.16,
14,,"Emilio Nsue Lopez 25, Sub",0,0,0,0,0,0,0,0,0,-,
15,,"Yanic Wildschut (67?)23, Sub",0,10,60,0,0,2,1,0,0,7.28,
16,,"Adam Reach (48?)21, Sub",2,24,62.5,3,1,6,1,0,0,7.31,
17,,"Tomás Mejías 25, Sub",0,0,0,0,0,0,0,0,0,-,
18,,"Kenneth Omeruo 21, Sub",0,0,0,0,0,0,0,0,0,-,
