Clean Sheets,
Brighton,20
Burnley,19
Leicester City,18
QPR,17
Middlesbrough,17
Wigan Athletic,16
Blackburn,15
Doncaster,13
Derby County,13
Charlton,13
Nottm Forest,13
Blackpool,12
Ipswich Town,12
Bolton,12
Watford,12
Reading,12
Millwall,10
Leeds United,10
Sheffield Wed,10
Bournemouth,9
Huddersfield,9
Yeovil Town,9
Birmingham,7
Barnsley,6
