NAME,POS,AGE,HT,WT,NAT,APP,SUB,SV,GA,A,FC,FA,YC,RC,
Joe Lumley1,G,27,1.91 m,73 kg,England,34,0,0,31,0,0,3,3,0,
Luke Daniels28,G,34,1.85 m,81 kg,England,12,0,0,13,0,0,1,1,0,
