NAME,POS,AGE,HT,WT,NAT,APP,SUB,SV,GA,A,FC,FA,YC,RC,
Marcus Bettinelli1,G,28,1.93 m,82 kg,England,41,0,43,43,0,1,4,3,0,
Jordan Archer13,G,28,1.85 m,78 kg,Scotland,5,0,0,8,0,0,5,0,0,
Solomon Brynn31,G,20,--,--,England,0,0,0,0,0,0,0,0,0,
