NAME,POS,AGE,HT,WT,NAT,APP,SUB,SV,GA,A,FC,FA,YC,RC,
Joe Lumley1,G,27,1.91 m,73 kg,England,4,0,0,5,0,0,2,0,0,
Luke Daniels28,G,34,1.85 m,81 kg,England,0,0,0,0,0,0,0,0,0,
