NAME,POS,AGE,HT,WT,NAT,APP,SUB,SV,GA,A,FC,FA,YC,RC,
Tomás Mejías1,G,31,1.96 m,83 kg,Spain,0,0,0,0,0,0,0,0,0,
Dejan Stojanovic30,G,26,1.96 m,87 kg,Austria,1,0,3,0,0,0,0,0,0,
Aynsley Pears42,G,22,--,--,England,22,0,62,26,0,0,5,0,0,
