NAME,POS,AGE,HT,WT,NAT,APP,SUB,SV,GA,A,FC,FA,YC,RC,
Seny Dieng1,G,29,1.93 m,88 kg,Senegal,--,--,--,--,--,--,--,--,--,
Thomas Glover23,G,26,1.91 m,88 kg,Australia,1,0,5,1,0,0,0,0,0,
Jamie Jones32,G,35,1.91 m,88 kg,England,0,0,0,0,0,0,0,0,0,
Shea Connor51,G,18,--,--,England,--,--,--,--,--,--,--,--,--,
