NAME,POS,AGE,HT,WT,NAT,APP,SUB,SV,GA,A,FC,FA,YC,RC,
Seny Dieng1,G,29,1.93 m,88 kg,Senegal,--,--,--,--,--,--,--,--,--,
Thomas Glover23,G,26,1.91 m,88 kg,Australia,7,0,11,10,0,0,0,0,0,
Jamie Jones32,G,35,1.91 m,88 kg,England,0,0,0,0,0,0,0,0,0,
