NAME,POS,AGE,HT,WT,NAT,APP,SUB,SV,GA,A,FC,FA,YC,RC,
Seny Dieng1,G,29,1.93 m,88 kg,Senegal,35,0,85,45,0,0,6,2,0,
Thomas Glover23,G,26,1.91 m,88 kg,Australia,12,1,33,15,0,0,2,1,0,
Jamie Jones32,G,35,1.91 m,88 kg,England,0,0,0,0,0,0,0,0,0,
Shea Connor51,G,18,--,--,England,0,0,0,0,0,0,0,0,0,
