R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Birmingham,9%,49%,43%
2,Ipswich,8%,52%,39%
3,Rotherham,8%,55%,37%
4,Fulham,7%,49%,44%
5,Queens Park Rangers,7%,49%,44%
6,Cardiff,7%,51%,43%
7,Leeds,6%,51%,43%
8,Charlton,6%,49%,45%
9,Reading,6%,54%,40%
10,Derby,6%,41%,53%
11,Huddersfield,5%,52%,43%
12,Blackburn,5%,43%,53%
13,Nottingham Forest,5%,46%,50%
14,Bolton,5%,56%,39%
15,Sheffield Wednesday,5%,52%,43%
16,Preston,5%,52%,42%
17,Milton Keynes Dons,5%,53%,42%
18,Brighton,5%,49%,46%
19,Bristol City,4%,47%,49%
20,Wolverhampton Wanderers,4%,38%,58%
21,Hull,4%,51%,45%
22,Middlesbrough,4%,46%,50%
23,Brentford,4%,47%,49%
24,Burnley,3%,45%,51%
