R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Brighton,9%,50%,41%
2,Milton Keynes Dons,8%,40%,52%
3,Bolton,8%,56%,36%
4,Blackburn,8%,54%,38%
5,Leeds,7%,43%,50%
6,Hull,7%,45%,47%
7,Burnley,7%,51%,42%
8,Ipswich,7%,53%,40%
9,Middlesbrough,7%,52%,41%
10,Sheffield Wednesday,6%,45%,50%
11,Derby,6%,46%,48%
12,Preston,5%,49%,45%
13,Huddersfield,5%,50%,45%
14,Reading,5%,39%,56%
15,Bristol City,5%,53%,42%
16,Nottingham Forest,5%,47%,48%
17,Wolverhampton Wanderers,5%,53%,42%
18,Fulham,4%,47%,49%
19,Cardiff,4%,51%,45%
20,Brentford,4%,56%,41%
21,Rotherham,4%,51%,45%
22,Birmingham,4%,51%,44%
23,Charlton,4%,56%,39%
24,Queens Park Rangers,2%,42%,56%
