R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Wigan,10%,52%,38%
2,Reading,10%,50%,40%
3,Nottingham Forest,10%,46%,44%
4,Queens Park Rangers,9%,46%,45%
5,Doncaster,9%,48%,43%
6,Derby,8%,49%,43%
7,Charlton,8%,43%,48%
8,Huddersfield,6%,45%,49%
9,Leeds,6%,55%,39%
10,Millwall,6%,48%,46%
11,Middlesbrough,6%,42%,52%
12,Sheffield Wednesday,6%,48%,46%
13,Blackburn,6%,46%,48%
14,Blackpool,5%,52%,43%
15,Birmingham,4%,51%,45%
16,Bournemouth,4%,52%,44%
17,Ipswich,4%,51%,45%
18,Burnley,4%,54%,42%
19,Leicester,4%,55%,40%
20,Brighton,4%,54%,42%
21,Barnsley,4%,46%,50%
22,Bolton,3%,51%,46%
23,Watford,3%,47%,50%
24,Yeovil,3%,45%,52%
