R,Team,In 6 Yards Box,In 18 Yards Box,Outside of Box
1,Reading,13%,48%,39%
2,Blackburn,11%,46%,43%
3,Wigan,9%,48%,43%
4,Blackpool,9%,44%,47%
5,Derby,8%,47%,45%
6,Yeovil,8%,43%,49%
7,Burnley,8%,48%,43%
8,Sheffield Wednesday,7%,53%,40%
9,Brighton,7%,48%,45%
10,Nottingham Forest,7%,51%,42%
11,Bolton,6%,52%,42%
12,Watford,6%,43%,51%
13,Ipswich,6%,52%,42%
14,Middlesbrough,6%,40%,54%
15,Millwall,6%,41%,53%
16,Bournemouth,5%,43%,52%
17,Huddersfield,5%,41%,53%
18,Doncaster,5%,50%,46%
19,Leeds,4%,49%,47%
20,Queens Park Rangers,4%,43%,53%
21,Birmingham,4%,49%,46%
22,Barnsley,4%,51%,45%
23,Leicester,4%,54%,42%
24,Charlton,2%,45%,53%
